Statistical profiling result from isolate-00000206CD5EB760-v8.log, (17389 ticks, 46 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
      2    0.0%    0.0%  Handler: close
      2    0.0%    0.0%  Handler: cb {1}
      2    0.0%    0.0%  Handler: async {2}
      2    0.0%    0.0%  Handler: async {1}
      2    0.0%    0.0%  Handler: async
      2    0.0%    0.0%  Handler: apply {1}
      2    0.0%    0.0%  Handler: application/emma+xml
      1    0.0%    0.0%  Stub: exports.getTitlesFromTerms C:\Users\Shawn\Documents\jspractice\gaia\app\vid_utils\index.js:82:38
      1    0.0%    0.0%  Stub: StoreGlobalStub {5}
      1    0.0%    0.0%  Stub: StoreGlobalStub {2}
      1    0.0%    0.0%  Stub: StoreGlobalStub
      1    0.0%    0.0%  Stub: RecordWriteStub {8}
      1    0.0%    0.0%  Stub: RecordWriteStub {7}
      1    0.0%    0.0%  Stub: RecordWriteStub {6}
      1    0.0%    0.0%  Stub: RecordWriteStub {5}
      1    0.0%    0.0%  Stub: RecordWriteStub {1}
      1    0.0%    0.0%  Stub: RecordWriteStub {14}
      1    0.0%    0.0%  Stub: RecordWriteStub {13}
      1    0.0%    0.0%  Stub: RecordWriteStub {12}
      1    0.0%    0.0%  Stub: RecordWriteStub {11}
      1    0.0%    0.0%  Stub: RecordWriteStub {10}
      1    0.0%    0.0%  Stub: RecordWriteStub
      1    0.0%    0.0%  Stub: LoadGlobalICTrampolineStub
      1    0.0%    0.0%  Stub: LoadFieldStub
      1    0.0%    0.0%  Stub: LoadConstantStub {1}
      1    0.0%    0.0%  Stub: LoadConstantStub
      1    0.0%    0.0%  Stub: LoadApiGetterStub
      1    0.0%    0.0%  Stub: DoubleToIStub
      1    0.0%    0.0%  Stub: CompareICStub {1}
      1    0.0%    0.0%  Stub: CompareICStub
      1    0.0%    0.0%  Stub: CallICStub(args(5), NULL_OR_UNDEFINED, 
      1    0.0%    0.0%  Stub: CallICStub(args(0), NULL_OR_UNDEFINED, 
      1    0.0%    0.0%  Stub: C:\Users\Shawn\Documents\jspractice\gaia\node_modules\winston\lib\winston\container.js
      1    0.0%    0.0%  Stub: C:\Users\Shawn\Documents\jspractice\gaia\node_modules\winston\lib\winston\config\npm-config.js
      1    0.0%    0.0%  Stub: BinaryOpICWithAllocationSiteStub(ADD_CreateAllocationMementos:String*String->String) {9}
      1    0.0%    0.0%  Stub: BinaryOpICWithAllocationSiteStub(ADD_CreateAllocationMementos:String*String->String) {7}
      1    0.0%    0.0%  Stub: BinaryOpICWithAllocationSiteStub(ADD_CreateAllocationMementos:String*String->String) {6}
      1    0.0%    0.0%  Stub: BinaryOpICWithAllocationSiteStub(ADD_CreateAllocationMementos:String*String->String) {5}
      1    0.0%    0.0%  Stub: BinaryOpICWithAllocationSiteStub(ADD_CreateAllocationMementos:String*String->String) {3}
      1    0.0%    0.0%  Stub: BinaryOpICWithAllocationSiteStub(ADD_CreateAllocationMementos:String*String->String) {2}
      1    0.0%    0.0%  Stub: BinaryOpICWithAllocationSiteStub(ADD_CreateAllocationMementos:String*String->String) {1}
      1    0.0%    0.0%  Stub: BinaryOpICWithAllocationSiteStub(ADD_CreateAllocationMementos:String*String->String)
      1    0.0%    0.0%  Stub: 
      1    0.0%    0.0%  RegExp: \\bMODULE\\b
      1    0.0%    0.0%  RegExp: \\bCHILD_PROCESS\\b
      1    0.0%    0.0%  Handler: {"request":"array-flatten"\,"paths":["C:\\\\Users\\\\Shawn\\\\Documents\\\\jspractice\\\\gaia\\\\node_modules\\\\express\\\\lib\\\\router\\\\node_modules"\,"C:\\\\Users\\\\Shawn\\\\Documents\\\\jspractice\\\\gaia\\\\node_modules\\\\express\\\\lib\\\\node_modules"\,"C:\\\\Users\\\\Shawn\\\\Documents\\\\jspractice\\\\gaia\\\\node_modules\\\\express\\\\node_modules"\,"C:\\\\Users\\\\Shawn\\\\Documents\\\\jspractice\\\\gaia\\\\node_modules"\,"C:\\\\Users\\\\Shawn\\\\Documents\\\\jspractice\\\\node_modules"\,"C:\\\\Users\\\\Shawn\\\\Documents\\\\node_modules"\,"C:\\\\Users\\\\Shawn\\\\node_modules"\,"C:\\\\Users\\\\node_modules"\,"C:\\\\node_modules"\,"C:\\\\Users\\\\Shawn\\\\.node_modules"\,"C:\\\\Users\\\\Shawn\\\\.node_libraries"\,"C:\\\\Program Files\\\\lib\\\\node"]}
      1    0.0%    0.0%  Handler: vm
      1    0.0%    0.0%  Handler: titleNid {3}
      1    0.0%    0.0%  Handler: titleNid {2}
      1    0.0%    0.0%  Handler: titleNid {1}
      1    0.0%    0.0%  Handler: titleNid
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 27f9c056) {9}
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 27f9c056) {6}
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 27f9c056) {1}
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 27f9c056) {19}
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 27f9c056) {18}
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 27f9c056) {17}
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 27f9c056) {16}
